# y ne np nH Bx By Bz Ex Ey Ez
4.848799999999999777e+00 -8.102299999999999780e-02 8.319400000000000406e-02 4.101500000000000111e-03 5.382200000000000070e-05 5.131099999999999671e-07 1.001200000000000050e-03 -1.255500000000000092e-06 9.544199999999999185e-06 1.790500000000000052e-06
4.843799999999999883e+00 -7.882999999999999730e-02 8.136999999999999789e-02 3.911500000000000046e-03 5.367700000000000124e-05 1.798800000000000040e-06 9.978100000000000164e-04 -1.235300000000000057e-06 9.036899999999999824e-06 2.247799999999999892e-06
4.836100000000000065e+00 -8.163900000000000323e-02 8.021799999999999764e-02 4.364899999999999683e-03 5.298599999999999719e-05 3.102699999999999957e-06 9.933299999999999508e-04 -6.483500000000000054e-07 8.498199999999999374e-06 2.248799999999999967e-06
4.833300000000000374e+00 -8.125100000000000378e-02 7.857899999999999607e-02 4.404299999999999882e-03 5.270700000000000206e-05 3.674900000000000170e-06 9.915799999999999354e-04 -6.778499999999999983e-07 8.355800000000000534e-06 2.302200000000000167e-06
4.823500000000000121e+00 -7.818899999999999462e-02 7.724399999999999322e-02 4.241599999999999884e-03 5.087800000000000314e-05 5.050500000000000180e-06 9.865900000000000798e-04 1.076500000000000011e-07 7.142099999999999771e-06 1.572199999999999957e-06
4.822899999999999743e+00 -7.830499999999999960e-02 7.754400000000000182e-02 4.245299999999999595e-03 5.078200000000000270e-05 5.148200000000000108e-06 9.863100000000000079e-04 9.586500000000000510e-08 7.089000000000000229e-06 1.534400000000000081e-06
4.820400000000000240e+00 -7.904400000000000315e-02 7.865300000000000069e-02 4.178600000000000196e-03 5.019500000000000307e-05 5.504400000000000188e-06 9.849699999999999428e-04 2.654499999999999848e-07 6.675899999999999898e-06 1.271200000000000001e-06
4.812500000000000000e+00 -8.192399999999999682e-02 8.313600000000000156e-02 3.933500000000000364e-03 4.844399999999999900e-05 6.548799999999999878e-06 9.807100000000000886e-04 7.821499999999999992e-07 5.494499999999999656e-06 4.805099999999999531e-07
4.810800000000000409e+00 -8.168999999999999873e-02 8.197500000000000620e-02 3.910399999999999640e-03 4.809999999999999687e-05 6.636300000000000311e-06 9.796099999999998992e-04 9.916599999999999211e-07 5.242299999999999766e-06 4.486200000000000030e-07
4.802100000000000257e+00 -7.847700000000000509e-02 8.255999999999999450e-02 3.950999999999999651e-03 4.619000000000000330e-05 7.732100000000000051e-06 9.745100000000000463e-04 1.282600000000000010e-06 4.439599999999999811e-06 -1.245299999999999908e-07
4.798199999999999577e+00 -8.012600000000000278e-02 8.275399999999999423e-02 3.899000000000000122e-03 4.536400000000000138e-05 7.749900000000000118e-06 9.721400000000000267e-04 1.505500000000000028e-06 4.388500000000000419e-06 9.341999999999999876e-08
4.791699999999999626e+00 -7.945000000000000673e-02 8.132499999999999452e-02 3.813599999999999889e-03 4.383500000000000298e-05 8.296400000000000730e-06 9.685699999999999778e-04 1.441400000000000082e-06 4.702299999999999854e-06 1.009900000000000063e-07
4.785700000000000287e+00 -8.026600000000000401e-02 8.410199999999999620e-02 3.884400000000000092e-03 4.214100000000000192e-05 8.243499999999999932e-06 9.652999999999999905e-04 1.393300000000000069e-06 5.501099999999999728e-06 6.892500000000000077e-07
4.781299999999999883e+00 -8.142000000000000626e-02 8.283699999999999397e-02 3.887299999999999783e-03 4.077500000000000178e-05 8.440100000000000727e-06 9.630599999999999578e-04 1.210200000000000077e-06 6.250800000000000360e-06 9.183300000000000447e-07
4.773100000000000342e+00 -7.888799999999999979e-02 8.141900000000000526e-02 3.954700000000000229e-03 3.783199999999999963e-05 8.461199999999999559e-06 9.587899999999999461e-04 8.286099999999999533e-07 8.018800000000000203e-06 1.534000000000000051e-06
4.770800000000000374e+00 -7.941700000000000148e-02 8.219700000000000617e-02 3.968799999999999759e-03 3.691999999999999888e-05 8.554599999999999376e-06 9.576199999999999556e-04 7.369299999999999688e-07 8.498199999999999374e-06 1.655100000000000044e-06
4.760500000000000398e+00 -8.602999999999999536e-02 7.936799999999999411e-02 3.940299999999999879e-03 3.299799999999999814e-05 8.679199999999999844e-06 9.523500000000000281e-04 2.476999999999999747e-07 1.091799999999999948e-05 1.710399999999999963e-06
4.760399999999999743e+00 -8.604599999999999749e-02 7.934800000000000186e-02 3.937200000000000075e-03 3.295900000000000072e-05 8.682799999999999267e-06 9.523100000000000488e-04 2.475199999999999824e-07 1.093499999999999949e-05 1.711500000000000046e-06
4.759999999999999787e+00 -8.598999999999999699e-02 7.949499999999999622e-02 3.942199999999999871e-03 3.280200000000000205e-05 8.696099999999999631e-06 9.521100000000000440e-04 2.385300000000000058e-07 1.102500000000000032e-05 1.685299999999999983e-06
