# z ne np nH Bx By Bz Ex Ey Ez
1.404700000000000115e-01 -7.195100000000000107e-02 7.709399999999999586e-02 4.057800000000000296e-03 -4.074999999999999846e-04 -7.427799999999999594e-05 1.302599999999999895e-03 -5.447499999999999513e-07 9.172699999999999438e-06 3.180400000000000077e-06
1.458299999999999874e-01 -6.972799999999999832e-02 8.168699999999999573e-02 4.159099999999999776e-03 -3.985300000000000214e-04 -8.230599999999999429e-05 1.317000000000000028e-03 -7.089500000000000055e-07 8.501399999999999615e-06 2.751099999999999799e-06
1.493200000000000083e-01 -7.320200000000000318e-02 8.460099999999999565e-02 4.281199999999999763e-03 -3.901099999999999902e-04 -8.786600000000000204e-05 1.327700000000000017e-03 -1.172800000000000020e-06 7.834200000000000311e-06 2.214999999999999969e-06
1.562500000000000000e-01 -7.855600000000000083e-02 8.659400000000000430e-02 3.839700000000000144e-03 -3.754100000000000124e-04 -9.802900000000000621e-05 1.345499999999999908e-03 -9.779599999999999506e-07 6.644099999999999626e-06 9.472000000000000113e-07
1.581799999999999873e-01 -7.862399999999999944e-02 8.728800000000000447e-02 3.782799999999999791e-03 -3.698899999999999974e-04 -1.013400000000000021e-04 1.351200000000000101e-03 -1.159500000000000079e-06 6.297800000000000079e-06 5.119700000000000508e-07
1.666700000000000126e-01 -7.946499999999999397e-02 8.074900000000000133e-02 3.632900000000000105e-03 -3.487799999999999776e-04 -1.148700000000000030e-04 1.371899999999999899e-03 -7.481799999999999670e-07 4.893300000000000228e-06 -1.317999999999999917e-06
1.670399999999999940e-01 -7.946100000000000385e-02 8.069900000000000684e-02 3.628000000000000148e-03 -3.475600000000000130e-04 -1.155300000000000001e-04 1.372900000000000032e-03 -7.753200000000000366e-07 4.850899999999999583e-06 -1.392299999999999993e-06
1.691900000000000071e-01 -8.013800000000000090e-02 8.056699999999999973e-02 3.766199999999999930e-03 -3.415700000000000246e-04 -1.191600000000000043e-04 1.377600000000000092e-03 -7.294800000000000444e-07 4.619400000000000191e-06 -1.740899999999999925e-06
1.759100000000000108e-01 -8.190699999999999370e-02 8.036899999999999600e-02 4.189899999999999874e-03 -3.227400000000000169e-04 -1.308399999999999873e-04 1.393200000000000037e-03 -7.709599999999999632e-07 3.900999999999999581e-06 -2.980199999999999859e-06
1.770799999999999874e-01 -8.208300000000000318e-02 7.985499999999999543e-02 4.215700000000000176e-03 -3.198400000000000006e-04 -1.328000000000000025e-04 1.395399999999999982e-03 -6.601099999999999996e-07 3.801200000000000130e-06 -3.109100000000000014e-06
1.847900000000000098e-01 -8.445600000000000329e-02 7.997500000000000442e-02 4.130599999999999897e-03 -2.959099999999999773e-04 -1.465399999999999895e-04 1.411300000000000098e-03 -9.719100000000000255e-07 3.622199999999999811e-06 -3.573100000000000145e-06
1.875000000000000000e-01 -8.423200000000000132e-02 8.025799999999999601e-02 4.112499999999999836e-03 -2.884799999999999756e-04 -1.512399999999999953e-04 1.415800000000000045e-03 -8.628500000000000270e-07 3.588000000000000206e-06 -3.574800000000000061e-06
1.936599999999999988e-01 -8.250300000000000689e-02 7.477499999999999425e-02 3.989499999999999991e-03 -2.672700000000000076e-04 -1.623100000000000096e-04 1.426699999999999930e-03 -1.131600000000000101e-06 3.870199999999999808e-06 -2.931699999999999815e-06
1.979200000000000126e-01 -8.171000000000000485e-02 7.507099999999999884e-02 4.008900000000000137e-03 -2.545399999999999855e-04 -1.695400000000000065e-04 1.432700000000000076e-03 -1.061599999999999924e-06 4.048500000000000286e-06 -2.509000000000000034e-06
2.025500000000000078e-01 -8.434300000000000130e-02 8.237999999999999490e-02 4.008799999999999863e-03 -2.369799999999999977e-04 -1.781399999999999987e-04 1.439200000000000071e-03 -1.061899999999999947e-06 4.407199999999999918e-06 -1.242099999999999932e-06
